Municipio,Población,Tasa de matriculación,X,Y
Bogotá D.C,1.452.849,79.90,426,391
Amazonas,22.269,83.60,545,565
Antioquia,1.270.105,86.10,298.55,307
Arauca,75.197,75,648,353
Atlántico,518.257,91.10,324,215
Bolívar,486.067,90.70,409,245
Boyacá,275.027,83.50,392,330
Caldas,191.444,75.80,341,360
Caquetá,124.222,74.40,409,537
Casanare,88.626,97.80,511,445
Cauca,303.777,83.30,230,476
Cesar,259.051,99.10,443,207
Córdoba,413.883,88.80,272,276
Cundinamarca,579.364,91.80,426,366
Chocó,145.765,79.20,255,353
Guainía,11.965,80,665,445
Guaviare,31.876,55,511,506
Huila,268.744,85.90,341,483
La Guajira,271.221,75.50,426,115
Magdalena,327.940,93.60,375,153
Meta,221.844,90.90,511,476
Nariño,393.195,70.20,204,499
Norte de Santander,304.148,90.40,477,276
Putumayo,91.161,75.20,272,522
Quindio,108.156,77.80,281,407
Risaralda,181.154,86.80,307,384
Santander,398.621,96.50,477,307
Sucre,197.947,97.30,307,245
Tolima,303.140,84,392,453
Valle del Cauca,873.860,80.40,204,437
Vaupés,12.668,66.50,597,537
Vichada,22.282,78,682,399
